RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Central African Republic,CAF,LDCs,2006896079.0,0,Adaptation,Adaptation,3,0.004596,0.004596
Central African Republic,CAF,LDCs,2006896079.0,1,Solar-energy,Mitigation,2,0.1672038099999999,0.1672038099999999
Central African Republic,CAF,LDCs,2006896079.0,6,Nature_conservation,Environment,2,0.0666933,0.0
Central African Republic,CAF,LDCs,2006896079.0,8,Sustainable-land-use,Environment,14,5.361619429999999,0.0
Central African Republic,CAF,LDCs,2006896079.0,11,Hydro-energy,Mitigation,3,0.09146349999999989,0.09146349999999989
Chad,TCD,LDCs,10720536841.0,0,Adaptation,Adaptation,47,17.3705401,17.3705401
Chad,TCD,LDCs,10720536841.0,1,Solar-energy,Mitigation,5,0.5685465399999999,0.5685465399999999
Chad,TCD,LDCs,10720536841.0,3,Other-mitigation-projects,Mitigation,1,0.00462646,0.00462646
Chad,TCD,LDCs,10720536841.0,4,Biodiversity,Environment,8,3.0242031000000003,0.0
Chad,TCD,LDCs,10720536841.0,6,Nature_conservation,Environment,14,0.3712766799999996,0.0
Chad,TCD,LDCs,10720536841.0,7,Other-environment-projects,Environment,7,0.0883455299999999,0.0
Chad,TCD,LDCs,10720536841.0,8,Sustainable-land-use,Environment,60,27.49436693058,0.0
Chad,TCD,LDCs,10720536841.0,10,Renewables-multiple,Mitigation,1,0.00338181,0.00338181
Chile,CHL,MADCTs,270396000000.0,0,Adaptation,Adaptation,23,1.9382828099999998,1.9382828099999998
Chile,CHL,MADCTs,270396000000.0,1,Solar-energy,Mitigation,8,2.5766725800000003,2.5766725800000003
Chile,CHL,MADCTs,270396000000.0,2,Bioenergy,Mitigation,14,1.12360394,1.12360394
Chile,CHL,MADCTs,270396000000.0,3,Other-mitigation-projects,Mitigation,13,2.6799158399999996,2.6799158399999996
Chile,CHL,MADCTs,270396000000.0,4,Biodiversity,Environment,9,0.3504723999999999,0.0
Chile,CHL,MADCTs,270396000000.0,5,Geothermal-energy,Mitigation,3,0.13159549999999992,0.13159549999999992
Chile,CHL,MADCTs,270396000000.0,6,Nature_conservation,Environment,9,0.13356737000000002,0.0
Chile,CHL,MADCTs,270396000000.0,7,Other-environment-projects,Environment,64,3.1465895239999995,0.0
Chile,CHL,MADCTs,270396000000.0,8,Sustainable-land-use,Environment,22,0.9732540099999999,0.0
Chile,CHL,MADCTs,270396000000.0,10,Renewables-multiple,Mitigation,12,38.576391615,38.576391615
Chile,CHL,MADCTs,270396000000.0,12,Energy-efficiency,Mitigation,7,147.0648164,147.0648164
Chile,CHL,MADCTs,270396000000.0,13,Wind-energy,Mitigation,1,0.366,0.366
China (People's Republic of),CHN,UMICs,12568600000000.0,0,Adaptation,Adaptation,343,95.73631847399997,95.73631847399997
China (People's Republic of),CHN,UMICs,12568600000000.0,1,Solar-energy,Mitigation,13,20.6951343,20.6951343
China (People's Republic of),CHN,UMICs,12568600000000.0,2,Bioenergy,Mitigation,21,19.97601744,19.97601744
China (People's Republic of),CHN,UMICs,12568600000000.0,3,Other-mitigation-projects,Mitigation,241,61.32935429299999,61.32935429299999
China (People's Republic of),CHN,UMICs,12568600000000.0,4,Biodiversity,Environment,53,72.65533844,0.0
China (People's Republic of),CHN,UMICs,12568600000000.0,5,Geothermal-energy,Mitigation,2,0.109084505,0.109084505
China (People's Republic of),CHN,UMICs,12568600000000.0,6,Nature_conservation,Environment,117,59.58958539999999,0.0
China (People's Republic of),CHN,UMICs,12568600000000.0,7,Other-environment-projects,Environment,640,331.83003832400004,0.0
China (People's Republic of),CHN,UMICs,12568600000000.0,8,Sustainable-land-use,Environment,370,89.28622409399999,0.0
China (People's Republic of),CHN,UMICs,12568600000000.0,9,Marine-energy,Mitigation,2,0.257555,0.257555
