RecipientName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
Congo,0.4922252199999998,0.4922252199999998,0.0,0.4922252199999998,0.0,0.4922252199999998
Cook Islands,0.0,0.099296,0.099296,0.0,0.0,0.099296
Cook Islands,0.0298797,0.0298797,0.0,0.0298797,0.0,0.0298797
Cook Islands,0.0760466999999999,0.0760466999999999,0.0,0.0760466999999999,0.0,0.0760466999999999
Cook Islands,1.2850497,1.2850497,0.0,0.0,1.2850497,1.2850497
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,4.823851,4.823851,0.0,0.0,4.823851
Costa Rica,0.0,5.0479610699999995,5.0479610699999995,0.0,0.0,5.0479610699999995
Costa Rica,0.0,7.403122700000001,7.403122700000001,0.0,0.0,7.403122700000001
Costa Rica,0.0,75.91936154,75.91936154,0.0,0.0,75.91936154
Costa Rica,0.024821,0.024821,0.0,0.024821,0.0,0.024821
Costa Rica,0.08549972,0.08549972,0.0,0.08549972,0.0,0.08549972
Costa Rica,0.4722364,0.4722364,0.0,0.4722364,0.0,0.4722364
Costa Rica,1.1234251599999996,1.1234251599999996,0.0,0.0,1.1234251599999996,1.1234251599999996
Costa Rica,8.471181999999999,8.471181999999999,0.0,8.471181999999999,0.0,8.471181999999999
Costa Rica,109.88389399999998,109.88389399999998,0.0,109.88389399999998,0.0,109.88389399999998
Cuba,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.0221217169999999,0.0221217169999999,0.0,0.0,0.0221217169999999
Cuba,0.0,2.3710683299999995,2.3710683299999995,0.0,0.0,2.3710683299999995
Cuba,0.0,3.7017932399999993,3.7017932399999993,0.0,0.0,3.7017932399999993
Cuba,0.0,14.541290805,14.541290805,0.0,0.0,14.541290805
Cuba,0.00111944,0.00111944,0.0,0.00111944,0.0,0.00111944
Cuba,0.00223889,0.00223889,0.0,0.00223889,0.0,0.00223889
Cuba,2.3588831699999995,2.3588831699999995,0.0,2.3588831699999995,0.0,2.3588831699999995
Cuba,3.0345415399999993,3.0345415399999993,0.0,3.0345415399999993,0.0,3.0345415399999993
Cuba,7.088163038999999,7.088163038999999,0.0,0.0,7.088163038999999,7.088163038999999
